Wall time,Step,Value
1724429416.159602,6449,-1.0472389459609985
1724429416.997528,6459,-1.5922212600708008
1724429417.901949,6469,-1.218752384185791
1724429418.752022,6479,-1.4060720205307007
1724429419.7531362,6489,-0.9134742021560669
1724429420.6029298,6499,-0.6730555295944214
1724429421.522978,6509,-1.1827813386917114
1724429422.4383512,6519,-1.7827824354171753
1724429423.3106198,6529,-1.347227931022644
1724429424.267531,6539,-0.5276146531105042
1724429427.0728068,6569,-2.6204192638397217
1724429428.019511,6579,-0.61436927318573
1724429428.919182,6589,-2.3735616207122803
1724429429.88649,6599,-1.4770190715789795
1724429430.754391,6609,-1.4700894355773926
1724429431.6997309,6619,-1.6078815460205078
1724429432.7799711,6629,-2.456251859664917
1724429433.764916,6639,-1.2812485694885254
1724429434.711809,6649,-2.2559902667999268
1724429435.5845098,6659,-1.1597177982330322
1724429436.49825,6669,-1.8918386697769165
1724429437.4034162,6679,-1.3295292854309082
1724429438.391427,6689,-2.329899787902832
1724429439.356579,6699,-1.841333270072937
1724429441.111885,6719,-0.958629846572876
1724429442.065064,6729,-1.9881200790405273
1724429442.968891,6739,-1.4216758012771606
1724429443.927698,6749,-2.431272506713867
1724429444.833919,6759,-0.5792281031608582
1724429445.823062,6769,-1.1564370393753052
1724429446.780535,6779,-1.2031294107437134
1724429447.6914089,6789,-2.6766302585601807
1724429448.617046,6799,-0.5942745804786682
1724429449.563033,6809,-1.4034650325775146
1724429450.463007,6819,-0.5510855913162231
1724429451.3161159,6829,-1.6101077795028687
1724429452.21524,6839,-1.0392327308654785
1724429453.135218,6849,-1.3118326663970947
1724429454.037632,6859,-1.2080403566360474
1724429454.961812,6869,-0.8936023712158203
1724429455.879086,6879,-1.0046720504760742
1724429456.863787,6889,-0.9656373262405396
1724429457.7390468,6899,-1.0711208581924438
1724429458.639327,6909,-0.9143126606941223
1724429460.524843,6929,-0.9484961628913879
1724429462.3355908,6949,-1.9356695413589478
1724429464.1825411,6969,-1.4177495241165161
1724429467.034941,6999,-0.7615594863891602
1724429467.9138281,7009,-0.9487586617469788
1724429468.834501,7019,-1.7903310060501099
1724429469.755445,7029,-1.0404800176620483
1724429470.701687,7039,-1.0322545766830444
1724429471.574228,7049,-0.2702808082103729
1724429472.435571,7059,-1.6467572450637817
1724429473.366772,7069,-1.840109944343567
1724429474.297947,7079,-1.3790556192398071
1724429475.2438731,7089,-1.7843819856643677
1724429476.154686,7099,-1.8428055047988892
1724429477.095977,7109,-1.9392237663269043
